,disability,stayed_in_emergency_shelter,minority,hospitalized_due_to_malnutrition,marital_status,Gender,num_shelters_year,years_not_in_residence,Age,num_times_relocated_month,days_since_hot_meal,num_dependents,avg_meal_per_day
4172,no,no,yes,no,single,other,5,12,50,7,312,3,1
4173,yes,yes,yes,no,married,other,5,2,34,5,478,3,1
4174,no,yes,yes,no,single,male,5,3,61,17,282,3,0
4175,yes,no,no,no,married,female,3,11,23,6,212,2,0
4176,no,no,no,no,single,male,8,4,64,10,220,3,1
4177,yes,no,yes,yes,married,male,4,3,45,19,127,1,1
4178,no,yes,no,no,married,female,1,6,48,19,298,2,1
4179,yes,yes,yes,no,married,male,10,13,55,18,507,1,1
4180,no,yes,yes,no,single,female,6,4,45,14,233,2,1
4181,no,yes,yes,no,single,male,5,8,49,19,396,1,1
4182,yes,no,no,yes,single,other,10,2,44,17,458,0,0
4183,yes,no,no,yes,single,male,2,14,51,17,534,2,0
4184,no,no,yes,no,single,female,1,1,37,9,298,3,0
4185,yes,yes,no,yes,single,other,2,1,24,9,228,1,0
4186,no,yes,no,yes,married,other,9,14,64,5,572,2,0
4187,yes,yes,no,yes,single,female,4,15,36,11,522,1,1
4188,no,no,no,yes,married,female,2,1,58,16,283,1,0
4189,no,yes,yes,no,married,female,6,13,49,17,567,3,0
4190,yes,no,yes,no,married,male,1,1,41,6,70,0,0
4191,yes,no,no,yes,single,female,3,2,48,20,542,3,1
4192,yes,yes,no,yes,married,female,8,6,42,4,349,0,0
4193,yes,yes,no,yes,married,male,9,11,19,20,114,2,0
4194,yes,yes,yes,no,married,female,1,3,21,11,392,2,0
4195,no,yes,no,no,single,female,6,6,56,19,298,3,0
4196,yes,yes,yes,no,single,other,9,7,29,7,152,2,1
4197,yes,yes,no,yes,single,female,7,8,32,11,452,0,0
4198,no,yes,no,no,single,male,4,1,19,10,329,0,1
4199,yes,no,yes,no,single,other,1,12,50,19,126,1,0
4200,no,no,no,no,married,other,7,3,55,7,421,3,0
4201,yes,no,no,no,single,male,4,10,48,7,94,1,0
4202,yes,no,yes,yes,single,other,5,11,34,15,482,0,0
4203,no,yes,no,yes,married,other,10,2,50,9,494,3,0
4204,yes,no,no,no,married,male,2,14,45,10,146,1,1
4205,no,yes,yes,no,married,female,4,4,23,4,241,2,1
4206,yes,no,no,yes,married,female,4,6,26,15,62,0,1
4207,no,no,yes,yes,single,other,6,2,54,10,142,0,1
4208,yes,yes,yes,yes,married,female,9,15,36,4,260,2,1
4209,yes,no,yes,yes,married,male,2,8,65,12,260,3,1
4210,no,yes,no,yes,single,female,9,12,34,13,225,2,0
4211,no,yes,yes,yes,married,other,2,1,25,18,227,3,1
4212,yes,yes,yes,yes,married,female,9,3,64,11,292,2,0
4213,no,no,no,yes,married,male,5,13,22,13,566,0,0
4214,yes,yes,no,yes,single,male,8,4,34,15,30,0,1
4215,no,no,yes,yes,married,other,7,5,34,4,240,3,1
4216,yes,yes,yes,yes,single,female,1,10,28,15,80,2,0
4217,yes,no,no,no,married,female,5,3,34,13,497,0,0
4218,no,yes,yes,no,single,female,6,2,29,9,186,0,1
4219,no,no,yes,yes,married,other,7,9,65,16,295,3,1
4220,no,yes,yes,no,married,other,7,9,33,7,381,0,1
4221,yes,no,yes,no,single,male,9,10,48,17,526,2,0
4222,yes,no,no,no,married,female,10,13,20,17,164,0,0
4223,no,no,yes,no,single,female,7,1,57,7,263,0,1
4224,no,yes,yes,yes,single,other,7,11,57,18,97,3,1
4225,no,yes,no,yes,married,female,8,7,59,18,452,3,1
4226,no,no,no,no,single,male,4,7,38,19,251,3,1
4227,yes,no,yes,no,married,female,10,8,30,17,49,1,1
4228,yes,no,yes,yes,married,male,7,5,58,7,514,1,0
4229,yes,yes,yes,yes,single,female,7,1,39,4,375,1,1
4230,yes,yes,no,yes,married,other,5,14,57,8,241,0,0
4231,no,yes,yes,no,single,female,8,15,61,4,41,3,0
4232,no,no,no,yes,married,female,8,4,57,13,515,0,1
4233,no,no,no,no,married,female,3,8,51,16,473,3,0
4234,no,no,yes,yes,single,female,2,13,39,20,110,0,0
4235,yes,no,yes,no,single,male,1,2,62,7,591,2,1
4236,yes,yes,yes,no,married,other,6,14,26,17,59,3,0
4237,yes,no,yes,no,single,other,6,11,50,14,370,1,1
4238,no,no,no,no,single,female,5,8,62,20,164,2,1
4239,yes,yes,yes,no,single,male,5,13,21,15,114,0,1
4240,yes,yes,yes,yes,single,female,6,2,64,16,73,0,0
4241,no,yes,yes,no,single,male,3,10,19,9,578,3,0
4242,no,no,yes,yes,married,male,9,4,34,20,513,2,1
4243,no,yes,yes,yes,married,other,3,14,30,16,495,3,0
4244,no,yes,yes,no,single,other,7,15,63,9,239,2,1
4245,yes,yes,no,no,married,female,3,15,40,14,387,3,0
4246,yes,yes,yes,yes,married,other,7,14,50,16,135,0,0
4247,no,yes,no,yes,married,female,1,1,18,4,215,2,0
4248,yes,yes,no,no,single,other,7,5,47,8,176,0,1
4249,no,yes,no,no,married,male,4,11,65,10,46,2,0
4250,no,yes,no,yes,married,male,5,9,36,13,290,1,0
4251,yes,no,no,yes,single,female,4,14,52,7,52,2,0
4252,no,no,no,yes,married,other,2,7,49,7,129,3,1
4253,yes,no,no,no,single,other,6,10,56,10,493,2,0
4254,no,no,yes,no,married,female,5,1,63,20,355,2,1
4255,yes,no,yes,no,married,other,4,8,48,14,264,3,0
4256,yes,yes,yes,no,married,other,6,15,18,16,333,2,0
4257,no,yes,yes,no,single,male,6,14,32,5,302,2,0
4258,yes,yes,yes,no,single,other,3,2,39,12,458,2,0
4259,no,yes,no,no,single,male,10,5,43,14,568,0,1
4260,no,no,yes,yes,married,other,1,5,35,5,416,3,1
4261,yes,yes,yes,no,single,other,6,11,29,12,495,3,0
4262,no,no,yes,no,single,female,4,1,64,12,231,1,1
4263,yes,yes,yes,yes,married,other,6,12,55,12,256,1,0
4264,no,no,no,yes,married,female,4,4,55,16,359,2,1
4265,yes,yes,yes,no,married,male,2,11,37,17,443,2,0
4266,no,yes,no,yes,married,female,9,6,40,17,571,1,0
4267,no,no,no,no,married,other,2,9,24,17,305,2,0
4268,no,yes,no,no,married,other,8,11,23,11,149,3,0
4269,no,yes,no,yes,married,female,1,14,29,8,97,1,1
4270,yes,no,yes,no,married,other,10,14,51,19,155,3,1
4271,no,yes,no,no,married,female,3,3,24,10,247,3,0
4272,no,yes,yes,yes,single,male,6,4,58,16,443,0,1
4273,no,no,no,yes,married,other,1,8,37,19,507,0,0
4274,yes,yes,no,yes,single,other,4,2,46,17,139,0,1
4275,yes,yes,yes,no,married,other,9,8,50,4,400,0,1
4276,no,no,yes,no,married,female,4,7,22,16,104,0,0
4277,yes,yes,no,yes,married,other,5,5,57,20,361,1,1
4278,yes,no,no,no,married,male,5,12,19,19,553,1,1
4279,no,yes,yes,no,single,female,5,15,19,9,375,2,0
4280,no,no,yes,yes,married,male,9,1,26,14,55,0,0
4281,no,yes,yes,no,married,male,5,9,35,6,450,0,1
4282,no,yes,no,yes,single,female,3,6,48,5,235,0,0
4283,no,yes,yes,no,married,female,6,6,63,10,438,1,1
4284,no,no,yes,no,single,male,4,7,65,6,599,2,0
4285,no,no,yes,yes,single,male,4,3,19,14,530,2,1
4286,no,no,yes,no,married,other,2,14,61,20,377,1,1
4287,no,no,yes,yes,married,other,6,3,46,4,254,2,1
4288,yes,yes,no,yes,single,other,6,4,61,5,220,0,0
4289,no,yes,yes,yes,married,female,9,13,18,16,68,2,1
4290,no,yes,no,yes,single,female,9,7,33,15,566,2,1
4291,no,no,yes,no,single,female,4,11,50,19,577,0,0
4292,yes,yes,no,yes,married,female,2,13,62,15,395,2,0
4293,yes,yes,yes,yes,single,other,3,10,62,17,190,3,1
4294,yes,no,yes,yes,single,other,9,5,38,20,221,0,1
4295,yes,yes,no,yes,married,male,8,10,43,10,592,2,0
4296,yes,yes,no,yes,married,female,1,6,25,8,104,1,0
4297,yes,yes,yes,no,married,other,6,8,39,12,575,1,0
4298,no,yes,no,no,married,other,3,14,60,11,311,1,0
4299,yes,no,yes,no,single,other,5,4,25,18,462,3,0
4300,yes,yes,yes,no,single,female,7,5,24,17,448,2,1
4301,yes,no,no,no,single,female,5,11,62,11,362,0,1
4302,yes,yes,no,yes,married,other,8,5,18,4,317,3,1
4303,no,yes,no,no,married,other,2,13,38,5,199,2,0
4304,no,yes,yes,yes,married,other,1,3,63,4,248,0,0
4305,no,yes,no,no,single,other,5,9,24,9,115,2,1
4306,yes,yes,no,yes,married,male,5,4,58,17,420,3,0
4307,yes,no,no,no,married,male,10,12,32,4,247,1,0
4308,no,no,no,yes,married,other,2,2,45,16,351,2,0
4309,yes,no,yes,yes,single,male,7,1,31,18,444,3,1
4310,yes,no,yes,no,married,female,5,1,44,7,58,3,0
4311,yes,no,yes,yes,single,male,5,4,47,5,501,0,0
4312,yes,no,yes,yes,married,female,2,8,52,9,71,2,0
4313,yes,yes,yes,no,married,male,3,6,63,15,595,2,0
4314,no,no,no,no,single,other,7,5,49,17,277,3,0
4315,no,yes,yes,yes,single,other,3,4,57,20,501,2,0
4316,yes,yes,no,yes,single,female,2,6,63,20,215,0,0
4317,yes,yes,no,no,married,other,9,15,40,20,523,2,1
4318,no,yes,no,yes,single,other,7,10,64,13,466,2,1
4319,yes,no,yes,no,married,male,2,14,55,4,257,0,1
4320,no,yes,yes,yes,single,other,9,5,55,13,394,0,1
4321,yes,yes,no,yes,married,male,2,15,26,8,113,2,0
4322,no,yes,yes,yes,married,other,9,9,62,20,88,1,0
4323,no,no,yes,no,married,other,7,10,44,7,162,0,1
4324,yes,no,yes,yes,single,female,6,11,62,17,429,1,0
4325,yes,yes,yes,yes,single,male,4,14,38,13,280,3,1
4326,no,yes,yes,yes,married,female,1,6,22,10,289,1,1
4327,yes,yes,yes,no,married,other,10,5,28,9,30,3,0
4328,no,yes,no,no,married,male,9,8,64,9,392,3,1
4329,no,yes,no,yes,married,female,2,8,33,16,446,1,1
4330,yes,yes,no,yes,single,other,4,12,62,7,373,3,1
4331,no,no,yes,yes,married,other,5,1,44,7,398,2,0
4332,yes,no,no,no,married,female,6,11,46,5,131,2,1
4333,no,yes,yes,no,single,female,2,3,26,17,543,2,1
4334,yes,no,no,no,single,male,9,2,65,18,426,3,1
4335,yes,yes,no,yes,married,male,10,14,20,8,513,0,1
4336,no,yes,yes,yes,married,female,10,8,20,20,279,0,1
4337,no,no,yes,yes,single,male,4,10,29,11,246,3,0
4338,yes,no,no,no,single,male,5,1,29,7,441,1,0
4339,yes,no,no,yes,married,other,1,10,40,4,384,0,0
4340,yes,yes,no,yes,single,male,8,11,40,18,431,3,0
4341,yes,no,no,yes,married,female,8,2,19,12,594,2,1
4342,no,no,no,yes,single,other,2,1,40,8,223,1,1
4343,no,yes,no,yes,married,other,4,4,27,7,252,2,0
4344,yes,no,no,no,single,male,4,15,52,15,438,0,1
4345,no,no,no,no,married,male,2,13,21,11,280,0,1
4346,no,no,no,yes,single,male,7,14,62,11,170,0,0
4347,no,yes,yes,no,married,other,2,13,28,9,414,0,1
4348,yes,no,no,yes,married,male,10,10,25,4,394,3,0
4349,yes,yes,no,no,single,male,7,7,62,11,263,1,0
4350,no,yes,no,no,single,other,10,9,36,15,71,1,0
4351,yes,no,no,no,single,male,2,9,39,16,153,1,0
4352,yes,no,no,yes,married,male,4,3,38,17,37,1,1
4353,no,yes,yes,yes,single,female,10,14,53,11,320,3,0
4354,no,no,no,no,married,male,4,2,48,5,242,0,1
4355,no,no,yes,yes,married,other,9,9,43,20,52,3,1
4356,no,yes,yes,yes,single,other,2,15,51,5,279,1,0
4357,yes,no,no,no,married,other,10,3,53,4,87,3,1
4358,yes,no,yes,no,married,other,10,3,21,8,125,3,1
4359,no,no,yes,no,single,female,4,2,39,11,227,3,0
4360,yes,no,yes,no,married,female,4,2,23,20,224,3,0
4361,yes,no,no,yes,married,female,5,2,58,4,248,2,1
4362,no,yes,yes,yes,single,other,8,10,59,4,265,2,0
4363,yes,no,no,no,single,male,1,7,42,14,419,0,0
4364,no,yes,yes,yes,married,other,10,13,41,15,356,1,0
4365,no,no,yes,no,single,other,1,10,46,15,142,0,0
4366,no,no,yes,yes,married,female,5,1,54,18,45,2,1
4367,yes,yes,no,yes,married,female,6,10,18,13,258,1,1
4368,yes,yes,no,yes,single,other,5,12,42,18,87,1,0
4369,yes,no,yes,yes,single,other,4,14,38,9,49,1,1
4370,yes,no,no,no,married,male,6,3,29,13,498,0,0
4371,yes,no,no,no,single,female,8,11,18,11,229,3,0
4372,yes,no,no,yes,single,female,8,14,65,20,296,2,1
4373,yes,no,yes,yes,single,female,3,12,43,14,74,2,1
4374,yes,no,yes,no,single,female,2,15,59,19,282,0,1
4375,no,yes,yes,no,married,other,1,14,31,10,509,2,0
4376,yes,yes,no,no,married,other,2,10,54,9,231,1,1
4377,no,no,yes,yes,single,other,7,10,29,7,367,0,0
4378,yes,no,no,no,single,other,9,12,21,16,93,1,0
4379,no,yes,yes,yes,married,other,7,4,52,19,596,1,0
4380,yes,yes,yes,yes,single,female,10,7,23,14,491,0,1
4381,yes,no,no,no,single,male,8,15,55,4,295,1,1
4382,no,yes,yes,no,married,other,7,9,51,14,208,1,0
4383,yes,yes,no,no,single,female,4,9,60,8,397,1,0
4384,yes,yes,no,no,married,female,1,10,25,10,278,2,0
4385,yes,no,no,yes,married,male,3,6,56,19,114,2,1
4386,no,no,yes,yes,married,female,2,10,33,10,548,0,1
4387,no,yes,yes,no,single,male,4,7,27,4,252,1,1
4388,no,yes,yes,no,single,other,3,12,23,10,218,3,0
4389,yes,yes,no,yes,married,other,9,1,29,12,145,1,0
4390,no,yes,yes,no,married,female,1,13,64,20,77,3,1
4391,yes,no,yes,no,single,female,10,10,33,11,327,1,0
4392,no,yes,no,no,married,other,8,1,35,6,98,3,0
4393,no,no,no,no,single,male,1,12,43,11,560,0,1
4394,no,yes,no,yes,married,other,9,2,43,4,310,3,1
4395,no,yes,no,no,single,male,9,13,36,6,290,2,0
4396,no,no,yes,no,married,female,3,14,33,14,426,3,0
4397,no,no,yes,no,married,other,4,7,41,6,423,2,1
4398,yes,no,no,no,married,male,9,10,18,7,464,3,0
4399,yes,yes,yes,no,married,other,1,3,42,8,39,0,1
4400,no,yes,no,yes,married,female,4,3,57,6,369,1,0
4401,no,yes,yes,yes,single,female,9,12,61,17,245,1,1
4402,yes,yes,yes,yes,married,female,10,8,54,11,576,2,1
4403,yes,no,no,yes,married,other,7,15,43,13,259,3,1
4404,no,no,no,yes,single,other,1,7,48,16,54,0,1
4405,no,yes,yes,yes,married,female,8,6,44,15,449,0,0
4406,yes,no,no,no,single,male,9,15,35,10,268,3,1
4407,no,yes,yes,no,married,male,2,2,57,5,308,3,0
4408,no,no,yes,no,single,male,3,1,55,20,142,2,1
4409,yes,yes,no,no,married,other,7,6,43,7,125,3,1
4410,no,no,yes,yes,married,other,8,11,21,8,172,3,1
4411,yes,no,no,yes,married,female,5,8,32,15,33,3,0
4412,yes,no,yes,yes,married,other,3,8,42,20,501,2,0
4413,no,yes,yes,no,married,male,1,15,49,12,371,1,1
4414,no,yes,no,yes,married,other,3,7,37,11,341,2,0
4415,no,no,yes,no,single,male,9,12,54,11,31,2,0
4416,yes,no,yes,no,married,female,7,14,29,12,203,0,0
4417,yes,no,no,yes,married,male,7,12,57,20,378,0,0
4418,yes,yes,yes,no,married,other,1,7,32,18,518,2,1
4419,no,no,no,no,single,male,9,5,57,13,552,1,0
4420,no,no,no,yes,married,male,1,5,43,8,308,1,1
4421,yes,no,yes,no,single,other,9,10,20,5,319,0,0
4422,no,yes,yes,yes,married,other,1,3,43,12,165,1,0
4423,no,no,no,yes,married,male,6,13,55,12,227,3,1
4424,no,no,yes,yes,single,female,4,2,31,6,411,1,0
4425,no,no,yes,yes,single,female,3,8,51,17,596,3,0
4426,no,yes,yes,no,married,other,3,13,58,5,588,0,1
4427,yes,no,yes,yes,single,other,8,5,23,9,186,2,0
4428,yes,no,yes,yes,single,female,5,1,21,13,515,2,1
4429,yes,yes,no,yes,married,other,6,8,27,9,381,2,1
4430,yes,no,yes,yes,single,female,4,8,34,17,149,0,1
4431,no,yes,yes,yes,married,male,4,12,22,15,36,3,1
4432,no,yes,yes,no,single,other,7,15,51,15,356,2,1
4433,no,no,yes,no,married,male,5,3,41,20,50,0,0
4434,no,yes,no,no,married,other,2,8,60,9,549,1,1
4435,yes,yes,no,yes,married,female,4,7,29,12,182,1,0
4436,no,no,no,yes,single,male,7,5,41,5,132,3,0
4437,no,no,no,no,single,other,6,4,50,12,91,0,1
4438,yes,yes,no,yes,single,female,5,6,45,12,549,1,0
4439,no,yes,no,yes,married,male,1,1,53,14,496,1,1
4440,yes,yes,yes,yes,single,female,10,8,29,16,539,3,1
4441,no,no,no,yes,single,other,9,9,51,7,173,0,1
4442,yes,yes,yes,no,married,other,9,9,57,14,336,1,1
4443,no,yes,yes,yes,single,male,7,2,46,17,422,0,0
4444,no,no,no,yes,married,female,4,3,57,4,345,1,1
4445,yes,yes,no,yes,married,other,8,2,60,16,355,3,1
4446,no,no,yes,no,married,female,6,7,48,19,129,0,0
4447,no,no,yes,no,married,other,2,8,43,4,373,2,0
4448,no,yes,yes,no,single,male,6,2,41,19,271,0,1
4449,no,yes,yes,yes,single,male,6,7,44,18,375,1,1
4450,yes,yes,no,yes,married,male,7,14,43,16,99,1,0
4451,yes,no,no,no,single,other,2,7,27,5,147,2,0
4452,yes,no,yes,yes,single,other,10,11,29,11,556,3,0
4453,no,no,no,no,single,other,10,9,59,14,59,0,1
4454,no,yes,no,no,married,female,3,6,34,14,574,0,1
4455,yes,yes,no,yes,married,male,6,7,50,10,370,3,0
4456,yes,no,yes,no,single,female,10,12,26,10,378,2,1
4457,yes,no,no,yes,single,male,6,10,32,10,214,3,0
4458,yes,no,no,yes,married,female,10,8,47,15,595,2,0
4459,yes,no,yes,yes,single,female,4,6,50,7,527,3,0
4460,yes,no,no,no,married,male,2,12,54,9,600,1,0
4461,no,yes,no,yes,single,male,7,15,20,11,515,3,1
4462,yes,no,no,yes,single,female,2,12,61,4,428,0,0
4463,no,no,yes,yes,single,male,8,15,64,14,310,2,0
4464,no,yes,yes,no,married,male,2,5,56,8,484,2,1
4465,no,yes,no,no,married,other,10,12,46,8,156,0,0
4466,yes,yes,yes,no,single,female,2,12,50,8,307,2,0
4467,no,yes,no,no,single,male,8,6,47,19,589,1,0
4468,no,no,no,no,married,male,3,8,53,19,157,2,0
4469,yes,yes,yes,no,married,other,2,2,22,20,574,3,0
4470,yes,yes,no,yes,single,male,8,3,44,6,508,2,0
4471,yes,yes,yes,no,married,male,7,8,52,10,424,1,1
4472,no,no,yes,no,single,male,1,9,28,19,348,3,1
4473,no,yes,no,yes,married,female,4,12,45,18,44,1,0
4474,yes,no,yes,yes,single,other,6,1,37,11,516,1,1
4475,yes,yes,yes,no,single,male,4,5,63,6,56,3,1
4476,yes,no,yes,yes,single,other,4,11,41,7,579,3,1
4477,yes,no,no,no,single,male,8,5,29,7,228,0,0
4478,no,no,yes,no,married,female,3,7,49,5,505,1,0
4479,no,yes,no,yes,married,female,6,13,51,20,40,0,0
4480,yes,yes,no,no,married,male,7,15,34,14,582,0,0
4481,yes,yes,yes,no,single,male,10,14,62,18,258,2,0
4482,yes,no,no,no,single,female,4,1,18,5,270,3,0
4483,no,yes,yes,yes,single,male,5,13,24,16,342,1,0
4484,no,no,yes,yes,married,male,1,1,36,16,225,3,1
4485,yes,yes,yes,no,single,male,7,10,25,20,84,1,1
4486,no,yes,no,no,single,female,4,10,32,10,586,1,0
4487,yes,yes,no,no,single,male,9,9,52,19,443,0,0
4488,no,yes,yes,yes,single,other,5,9,50,7,571,1,1
4489,yes,no,no,no,married,other,5,3,64,12,527,1,1
4490,no,no,yes,yes,married,other,7,12,31,17,511,0,0
4491,yes,no,yes,yes,married,female,10,3,20,19,71,2,1
4492,no,no,yes,no,married,other,3,10,32,13,322,1,0
4493,yes,yes,yes,yes,single,male,7,1,53,17,576,0,0
4494,yes,yes,yes,yes,married,male,7,11,35,14,233,0,0
4495,no,yes,yes,no,married,male,2,7,54,4,355,0,1
4496,no,yes,no,yes,single,female,4,13,26,16,514,3,0
4497,no,no,no,no,married,female,9,2,59,15,284,1,1
4498,no,no,yes,yes,married,female,3,1,46,16,582,0,1
4499,yes,no,no,yes,married,male,9,13,55,14,258,3,1
4500,yes,yes,no,no,single,other,1,2,45,4,387,2,1
4501,yes,yes,no,no,married,female,2,9,53,7,431,3,0
4502,no,yes,yes,yes,married,male,9,7,30,9,83,1,1
4503,yes,no,no,no,married,female,2,4,18,5,338,2,1
4504,yes,yes,yes,yes,married,female,4,10,60,4,574,1,1
4505,yes,yes,no,no,married,other,5,5,63,9,437,0,0
4506,yes,no,yes,no,married,male,3,5,54,4,391,2,0
4507,yes,no,no,no,married,male,3,13,38,15,349,2,1
4508,no,no,yes,no,married,other,3,15,19,20,105,1,0
4509,no,yes,yes,yes,married,male,1,8,58,9,480,3,0
4510,yes,yes,no,yes,married,female,3,5,29,5,86,3,0
4511,yes,yes,yes,yes,single,female,7,10,45,15,69,1,0
4512,no,no,yes,yes,single,other,10,12,65,10,341,0,0
4513,yes,yes,yes,yes,single,male,9,6,53,14,376,3,0
4514,no,yes,no,yes,married,male,9,3,45,4,179,0,0
4515,no,yes,no,no,single,male,6,8,49,20,129,3,0
4516,no,no,no,yes,married,other,4,12,24,9,347,1,1
4517,no,yes,yes,yes,single,male,10,1,46,7,302,3,0
4518,yes,yes,no,no,married,other,9,3,54,19,574,1,0
4519,yes,no,no,yes,married,male,5,7,44,16,477,0,0
4520,no,no,yes,yes,single,male,2,10,27,17,231,3,0
4521,no,yes,yes,yes,single,male,5,1,60,12,190,3,0
4522,yes,yes,yes,no,married,female,2,14,47,5,131,0,1
4523,no,yes,no,yes,single,other,8,2,59,6,399,3,0
4524,yes,yes,no,no,single,male,7,6,19,5,445,2,1
4525,yes,yes,no,yes,married,male,9,15,22,14,404,2,0
4526,no,yes,no,yes,married,male,6,8,53,15,162,0,1
4527,no,yes,no,yes,single,male,3,9,54,16,495,2,1
4528,yes,yes,yes,no,single,female,3,3,65,4,408,0,0
4529,no,yes,yes,yes,single,female,10,2,56,16,260,2,1
4530,yes,no,no,yes,married,female,6,6,52,9,287,3,1
4531,yes,yes,yes,yes,married,female,5,10,21,17,322,3,1
4532,no,yes,yes,yes,married,other,2,12,37,13,132,3,0
4533,no,yes,no,yes,single,female,8,13,58,7,362,3,0
4534,no,no,yes,yes,single,female,4,3,20,4,250,2,1
4535,no,yes,yes,no,married,other,1,9,50,14,31,0,1
4536,yes,no,no,no,married,female,10,10,45,7,45,2,1
4537,yes,no,yes,no,single,other,2,11,64,18,206,3,1
4538,yes,yes,no,no,married,female,3,3,26,5,534,0,0
4539,no,yes,no,no,single,male,5,5,37,6,461,3,1
4540,no,no,no,no,single,male,10,2,32,5,518,1,1
4541,no,yes,no,no,single,female,7,2,27,12,549,2,0
4542,yes,no,yes,no,single,female,2,14,57,11,63,0,1
4543,no,yes,yes,no,single,other,8,7,41,12,206,0,1
4544,yes,no,yes,no,single,male,6,14,33,16,195,2,0
4545,no,yes,no,no,married,female,10,7,35,19,557,3,0
4546,no,no,yes,no,married,female,4,6,53,5,465,2,0
4547,yes,yes,no,no,single,other,10,4,29,4,579,1,0
4548,yes,no,yes,no,single,male,4,3,42,9,352,1,0
4549,no,no,no,no,married,female,5,7,38,9,147,1,1
4550,yes,yes,no,yes,single,male,10,10,35,11,70,3,1
4551,yes,yes,yes,yes,single,female,8,5,64,8,499,1,0
4552,no,yes,yes,no,married,female,3,11,35,6,528,0,0
4553,yes,no,no,yes,married,other,3,11,28,14,465,3,1
4554,yes,yes,yes,yes,married,male,6,15,58,9,562,0,0
4555,no,yes,no,yes,single,female,4,5,64,16,549,3,0
4556,no,yes,no,yes,married,male,10,6,44,17,97,2,0
4557,no,no,yes,yes,married,other,3,14,63,20,579,1,1
4558,yes,no,yes,no,married,female,5,12,58,16,168,2,0
4559,yes,no,no,yes,married,other,9,11,47,20,48,2,0
4560,no,yes,yes,no,married,other,4,15,59,5,239,1,1
4561,yes,yes,no,yes,single,other,1,14,57,19,208,0,1
4562,no,no,yes,yes,married,female,4,1,59,13,526,1,0
4563,no,no,no,no,married,other,4,1,56,11,126,3,0
4564,no,no,no,no,married,other,4,4,45,7,93,0,0
4565,no,no,no,yes,married,female,3,9,59,6,398,2,1
4566,yes,no,yes,yes,single,male,9,10,57,5,408,1,1
4567,yes,yes,no,yes,single,other,10,2,44,20,141,0,1
4568,yes,yes,no,no,single,male,5,13,26,7,276,2,0
4569,no,no,yes,yes,married,other,5,7,23,6,384,3,0
4570,yes,no,yes,no,single,other,4,11,60,16,145,1,1
4571,no,no,yes,yes,single,other,6,8,20,16,570,0,0
4572,no,yes,no,no,married,other,1,13,47,12,362,2,0
4573,no,yes,no,no,single,other,7,1,59,8,56,1,0
4574,yes,no,no,no,married,female,9,8,35,5,293,1,1
4575,yes,yes,no,yes,married,other,9,5,21,5,479,3,1
4576,no,yes,yes,no,single,female,10,1,38,15,114,3,1
4577,no,yes,no,yes,single,male,3,5,21,6,395,0,0
4578,no,yes,yes,yes,married,female,9,10,35,17,194,1,1
4579,no,no,no,no,single,male,6,7,27,12,70,2,1
4580,no,yes,yes,yes,married,other,1,15,24,7,324,0,1
4581,no,yes,yes,yes,single,female,5,6,32,9,269,3,0
4582,yes,no,no,yes,married,female,3,3,42,16,262,3,0
4583,no,yes,no,no,single,female,2,12,18,13,585,2,0
4584,yes,no,yes,no,married,other,2,1,54,10,468,3,1
4585,yes,yes,no,yes,married,other,7,4,32,9,384,2,1
4586,yes,yes,no,yes,married,female,10,5,31,4,374,3,0
4587,no,yes,no,no,married,female,7,1,55,15,368,0,1
4588,yes,yes,yes,yes,married,male,5,1,57,19,522,0,1
4589,no,no,no,no,single,male,1,13,55,10,219,2,1
4590,yes,yes,no,no,single,other,4,14,25,16,466,0,0
4591,no,yes,yes,no,married,female,10,14,27,8,583,0,1
4592,no,yes,no,no,single,male,7,2,42,19,431,3,1
4593,no,no,yes,yes,married,other,2,1,30,18,166,0,1
4594,no,no,no,no,single,female,2,9,44,18,275,2,0
4595,yes,no,no,yes,single,other,10,8,58,4,302,3,1
4596,yes,no,no,no,married,male,3,14,61,20,472,3,1
4597,yes,no,yes,no,single,other,5,9,33,20,474,2,0
4598,no,yes,yes,no,single,other,8,5,47,6,337,1,0
4599,yes,no,no,no,married,other,10,8,45,16,576,2,1
4600,yes,yes,no,yes,single,female,6,8,25,14,294,2,1
4601,yes,yes,no,yes,single,female,8,6,51,14,553,3,1
4602,no,no,yes,no,married,other,7,4,59,19,198,3,1
4603,yes,no,yes,yes,single,other,6,1,52,4,119,1,1
4604,yes,yes,no,no,married,other,7,14,24,11,50,1,1
4605,no,no,yes,yes,single,male,9,1,33,5,149,3,1
4606,yes,yes,yes,no,married,female,2,2,43,18,378,0,1
4607,yes,yes,yes,yes,married,male,4,14,61,5,225,3,1
4608,no,no,yes,no,single,female,3,9,59,15,463,3,1
4609,yes,yes,no,no,married,female,10,15,18,5,236,0,0
4610,yes,no,no,no,married,female,4,11,36,13,89,2,0
4611,no,yes,yes,yes,married,female,9,8,65,4,339,1,0
4612,no,yes,yes,yes,married,male,2,2,52,4,520,3,1
4613,yes,yes,no,yes,married,other,5,11,59,15,273,2,1
4614,yes,yes,yes,no,single,other,10,8,26,11,594,2,1
4615,yes,no,no,yes,single,male,1,5,50,14,144,2,1
4616,no,no,no,yes,married,female,1,2,29,5,493,3,1
4617,no,yes,no,yes,married,female,2,12,60,11,283,1,0
4618,no,no,no,no,married,male,6,1,59,6,512,0,1
